ISA Album,Title,Genre,Release Date,Price,articleID
0,Born This Way,R&B,2007-06-14,0.55,25
0,Part Of Me,R&B,2007-06-14,0.55,68
0,Sucker,R&B,2007-06-14,0.55,252
0,Patricia,R&B,2007-06-14,0.55,21
0,Always Be My Baby,R&B,2007-06-14,0.55,0
1,Part Of Me,R&B,2007-06-14,2.75,62
0,Crush,Pop,2018-04-30,0.95,125
0,Boyfriend,Pop,2018-04-30,0.95,446
0,Sorry,Pop,2018-04-30,0.95,87
1,Best of Emma Della,Pop,2018-04-30,2.85,278
0,Psycho,Electronic,2015-10-15,0.95,364
1,Psycho(Single),Electronic,2015-10-15,0.95,253
0,One Week,Rap,2017-01-11,0.95,451
0,Circus,Rap,2017-01-11,0.95,464
0,She Will,Rap,2017-01-11,0.95,262
1,LIL,Rap,2017-01-11,2.85,357
0,Problem,Rap,2018-03-25,0.95,392
1,Problem (Single),Rap,2018-03-25,0.95,71
0,Don't Stop Believing,Blues,2012-11-20,0.55,86
0,Say You'll Be There,Blues,2012-11-20,0.55,360
0,Ray Of Light,Blues,2012-11-20,0.55,441
0,Burnin' Up,Blues,2012-11-20,0.55,179
1,Don't Stop Believing,Blues,2012-11-20,2.2,351
0,Baby,Pop,2005-05-05,0.0,198
1,Baby(Single),Pop,2005-05-05,0.0,202
0,Don't Cry (remix),Electronic,2019-11-03,0.0,409
1,Don't Cry (remix),Electronic,2019-11-03,0.0,417
0,Please Me (remix),Electronic,2018-11-03,0.0,219
1,Please Me (remix),Electronic,2018-11-03,0.0,74
0,Runaway,Pop,2020-02-20,0.95,400
0,Right Above It,Pop,2020-02-20,0.95,319
0,Back To December,Pop,2020-02-20,0.95,416
0,Red,Pop,2020-02-20,0.95,212
1,Runaway,Pop,2020-02-20,3.8,327
0,Applause,Pop,2019-03-04,0.95,264
0,Summer Sixteen,Pop,2019-03-04,0.55,286
0,All By Myself,Pop,2019-03-04,0.55,339
1,Applause (EP),Pop,2019-03-04,2.05,204
0,Barbie Girl (remix),Electronic,2015-07-26,0.0,246
1,Barbie Girl (remix),Electronic,2015-07-26,0.0,248
0,Strange Clouds,Electronic,2015-08-15,0.0,497
1,Strange Clouds,Electronic,2015-08-15,0.0,112
0,Begin Again,Electronic,2016-03-28,0.0,147
1,Begin Again,Electronic,2016-03-28,0.0,193
0,Deja Vu,Rock,1985-02-10,0.55,114
0,Paris,Rock,1985-02-10,0.55,180
1,Deja Vu,Rock,1985-02-10,1.1,247
0,Pray For Me,Punk Rock,2004-07-19,0.55,70
0,Better Now,Punk Rock,2004-07-19,0.55,363
0,Circles,Punk Rock,2004-07-19,0.55,420
0,Sunny Came Home,Punk Rock,2004-07-19,0.55,11
0,Speed Of Sound,Punk Rock,2004-07-19,0.55,482
0,Can't Be Tamed,Punk Rock,2004-07-19,0.55,299
1,Circles,Punk Rock,2004-07-19,3.3,24
0,Speak Now,Punk Rock,2006-11-15,0.55,88
0,Teenage Dream,Punk Rock,2006-11-15,0.55,60
0,Sugar,Punk Rock,2006-11-15,0.55,431
0,Piece By Piece,Punk Rock,2006-11-15,0.55,7
0,Stargazing,Punk Rock,2006-11-15,0.55,229
0,Take What You Want,Punk Rock,2006-11-15,0.55,289
0,Change The World,Punk Rock,2006-11-15,0.55,217
1,Speak Now,Punk Rock,2006-11-15,3.85,166
0,So What,Pop,2011-01-16,0.55,129
1,So What (Single),Pop,2011-01-16,0.55,391
0,Bad Romance,Pop,2012-10-29,0.95,390
0,Take Care,Pop,2012-10-29,0.95,330
0,Starships,Pop,2012-10-29,0.95,132
0,Closer,Pop,2012-10-29,0.95,383
0,Say Something,Pop,2012-10-29,0.95,194
1,Say Something,Pop,2012-10-29,4.75,458
0,Don't Matter To Me,Indie Pop,2016-09-24,0.95,99
0,Come With Me,Indie Pop,2016-09-24,0.95,159
0,Change,Indie Pop,2016-09-24,0.95,61
0,Skyscraper,Indie Pop,2016-09-24,0.95,470
0,Perfect,Indie Pop,2016-09-24,0.95,94
0,Dangerous Woman,Indie Pop,2016-09-24,0.95,472
1,Perfect,Indie Pop,2016-09-24,5.7,189
0,Real Love,Independent,2013-05-17,0.55,181
1,Real Love,Independent,2013-05-17,0.55,375
0,A Little Bit Longer,Independent,2013-07-15,0.55,174
1,A Little Bit Longer,Independent,2013-07-15,0.55,483
0,So Good,Independent,2014-10-10,0.95,295
0,Diana,Independent,2014-10-10,0.55,317
1,So Good (EP),Independent,2014-10-10,1.5,117
0,Dirt,Rap,1998-03-17,0.55,150
0,Sorry,Rap,1998-03-17,0.55,361
0,Rise,Rap,1998-03-17,0.55,436
0,Paranoid,Rap,1998-03-17,0.55,398
0,All Mine,Rap,1998-03-17,0.55,263
1,All Mine,Rap,1998-03-17,2.75,72
0,Bandit,R&B,2001-02-05,0.55,196
0,Blinding Lights,R&B,2001-02-05,0.55,32
0,Diggin' On You,R&B,2001-02-05,0.55,168
0,Somewhere,R&B,2001-02-05,0.55,325
0,Ring The Alarm,R&B,2001-02-05,0.55,300
1,Diggin',R&B,2001-02-05,2.75,160
0,Airplanes,R&B,2002-05-10,0.95,2
1,Airplanes (Single),R&B,2002-05-10,0.95,254
0,Runaway,R&B,2003-07-11,0.95,341
1,Runaway (Single),R&B,2003-07-11,0.95,5
0,Take A Little Ride,Independent,2015-11-11,0.0,69
0,Burnin' It Down,Independent,2015-11-11,0.0,31
0,Bitter Sweet Symphony,Independent,2015-11-11,0.0,82
0,Come And Get With Me,Independent,2015-11-11,0.0,75
1,Cover Album pt.1,Independent,2015-11-11,0.0,142
0,Ours,Hip-Hop/Rap,1999-10-13,0.55,14
0,Die Young,Hip-Hop/Rap,1999-10-13,0.55,119
0,State Of Grace,Hip-Hop/Rap,1999-10-13,0.55,369
0,Do What U Want,Hip-Hop/Rap,1999-10-13,0.55,439
1,State Of Grace,Hip-Hop/Rap,1999-10-13,2.2,424
0,Steal My Girl,Rap,2001-02-19,0.55,350
0,Rap Devil,Rap,2001-02-19,0.95,310
1,Rap Devil (EP),Rap,2001-02-19,1.5,20
0,That's The Way Love Goes,Jazz,2007-08-12,0.0,450
0,Save Tonight,Jazz,2007-08-12,0.0,187
0,All For You,Jazz,2007-08-12,0.0,115
0,To The Limit,Jazz,2007-08-12,0.0,474
0,Love Betty,Jazz,2007-08-12,0.0,257
1,Jazzy Breezy Beautiful,Jazz,2007-08-12,0.0,171
0,Photograph,R&B,2019-01-04,0.95,261
0,Rich & Sad,R&B,2019-01-04,0.95,481
0,Dedicate,R&B,2019-01-04,0.95,93
0,Rescue Me,R&B,2019-01-04,0.95,373
0,Again,R&B,2019-01-04,0.95,475
1,Again,R&B,2019-01-04,4.75,348
0,All My Life,Soundtrack,2004-06-06,0.95,33
0,Sing,Soundtrack,2004-06-06,0.95,167
0,Break Free,Soundtrack,2004-06-06,0.95,26
0,All Day,Soundtrack,2004-06-06,0.95,145
1,Sing All Day,Soundtrack,2004-06-06,3.8,149
0,Perfect Illusion,Pop,1996-04-12,0.55,240
0,Spoil My Night,Pop,1996-04-12,0.55,141
0,One Summer Night,Pop,1996-04-12,0.55,359
0,Pushin' Me Away,Pop,1996-04-12,0.55,139
1,One Summer Night,Pop,1996-04-12,2.2,274
0,One Less Lonely Girl,Pop,1995-02-28,0.55,215
1,One Less Lonely Girl (Single),Pop,1995-02-28,0.55,66
0,Paradise,Rock,2009-04-25,0.55,277
0,Ronan,Rock,2009-04-25,0.55,287
0,Diamonds,Rock,2009-04-25,0.55,102
0,That's My Kind Of Night,Rock,2009-04-25,0.55,58
0,Say Something,Rock,2009-04-25,0.55,366
1,Ronan,Rock,2009-04-25,2.75,76
0,Amnesia,Rock,2011-05-17,0.55,320
1,Amnesia,Rock,2011-05-17,0.55,177
0,Show Me What You Got,Country,1984-06-19,0.0,397
0,Tell It To The Rain,Country,1984-06-19,0.0,457
0,Please Remember Me,Country,1984-06-19,0.0,335
0,Don't Bring Me Down,Country,1984-06-19,0.0,442
0,"That Sunday, That Summer",Country,1984-06-19,0.0,140
0,Thank The Lord For The Night Time,Country,1984-06-19,0.0,36
1,Tell It To The Rain,Country,1984-06-19,0.0,73
0,Stay In My Corner,Rock,2005-07-24,0.55,421
0,Sweet Blindness,Rock,2005-07-24,0.55,296
0,Share Your Love With Me,Rock,2005-07-24,0.55,230
0,Something Better To Do,Rock,2005-07-24,0.55,311
0,In & Out,Rock,2005-07-24,0.55,452
1,Sweet Blindness,Rock,2005-07-24,2.75,90
0,Do I Do,Soul,2017-07-27,0.95,127
1,Do I Do,Soul,2017-07-27,0.95,3
0,Smooth Criminal,Soul,2016-10-03,0.95,279
1,Smooth Criminal,Soul,2016-10-03,0.95,205
0,One,Soul,2015-09-15,0.95,255
1,One,Soul,2015-09-15,0.95,116
0,Rock And Roll Dreams Come Through,Rock,2019-05-05,0.0,387
1,Rock And Roll Dreams Come Through,Rock,2019-05-05,0.0,37
0,Please Love Me Forever,Rock,2018-06-06,0.0,496
1,Please Love Me Forever,Rock,2018-06-06,0.0,345
0,Ain't Too Proud To Beg,Independent,2020-01-05,0.55,435
1,Ain't Too Proud To Beg,Independent,2020-01-05,0.55,406
0,Over Under Sideways Down,Independent,2019-11-28,0.55,123
1,Over Under Sideways Down,Independent,2019-11-28,0.0,242
0,Reflections Of My Life,Independent,2019-03-16,0.0,184
1,Reflections Of My Life,Independent,2019-03-16,0.0,316
0,Can't Stop Dancin',Independent,2018-08-15,0.0,349
1,Can't Stop Dancin',Independent,2018-08-15,0.0,337
0,American Storm,Punk Rock,2003-10-11,0.55,81
0,Didn't I (Blow Your Mind),Punk Rock,2003-10-11,0.55,413
0,Don't Cry,Punk Rock,2003-10-11,0.55,265
0,People Everyday,Punk Rock,2003-10-11,0.55,427
0,Cherry Pie,Punk Rock,2003-10-11,0.55,495
1,American Storm,Punk Rock,2003-10-11,2.75,226
0,A Swingin' Safari,Independent,1998-03-16,0.0,355
0,Dear Lonely Hearts,Independent,1998-03-16,0.0,136
0,Our Winter Love,Independent,1998-03-16,0.0,162
1,A,Independent,1998-03-16,0.0,197
0,Red Roses For A Blue Lady,Country,2009-10-19,0.55,395
0,Sing A Song,Country,2009-10-19,0.55,284
0,Ready To Take A Chance Again,Country,2009-10-19,0.55,354
0,Shine A Little Love,Country,2009-10-19,0.55,267
0,Can't Cry Anymore,Country,2009-10-19,0.55,272
1,Shine A Little Love,Country,2009-10-19,2.75,97
0,Summer Nights,Electro Pop,2011-04-27,0.0,336
1,Summer Nights,Electro Pop,2011-04-27,0.0,128
0,Stranger In My House,Electro Pop,2015-05-20,0.0,190
1,Stranger In My House,Electro Pop,2015-05-20,0.0,251
0,"Do What You Want, Be What You Are",Electro Pop,2017-03-20,0.95,122
1,"Do What You Want, Be What You Are",Electro Pop,2017-03-20,0.95,96
0,A Penny For Your Thoughts,Folk,2013-01-15,0.0,233
1,A Penny For Your Thoughts,Folk,2013-01-15,0.0,106
0,Burning Heart,Folk,2014-05-12,0.55,221
1,Burning Heart,Folk,2014-05-12,0.55,250
0,Don't Happen Twice,Folk,2013-04-10,0.55,303
0,Sideways,Folk,2013-04-10,0.55,222
0,Come With Me Now,Folk,2013-04-10,0.55,433
1,Sideways,Folk,2013-04-10,1.65,188
